timestamp,message_type,user_id,nickname,content,user_level,giver_id,giver_nickname,gift_name,combo_count,receiver_id,receiver_nickname,like_count,like_total,member_count,follow_count,display_short,display_middle,display_long,room_total
2025-09-16T21:28:31.358630,enter,MS4wLjABAAAAMTh7LO9gFBeyxvYoEgIc9LCQH48FhU7XkeRNm99bQ6k,等那一天,,,,,,,,,,,374807,,,,,
2025-09-16T21:28:31.358675,gift,,,,,MS4wLjABAAAAFwBqzhAy-EGJj9bxdEVcOufgnukV__f8Q4i_4jxKM8U,那片海,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:31.358713,enter,MS4wLjABAAAAr5OhP2F2yvzyQJ5doVIpn7qIN6ISkrLukBuc4y3l2y4,北郊猴哥,,,,,,,,,,,378241,,,,,
2025-09-16T21:28:31.358746,enter,MS4wLjABAAAABsk5G8_5eqMeu6Tx9aX70gekeGZjXNPi-KtKiXS4lyY,(空'◡'白),,,,,,,,,,,377035,,,,,
2025-09-16T21:28:31.358792,gift,,,,,MS4wLjABAAAAwKtk3eto7aUXK23ZwEl0-WqsOJ9xpc30tSnAaBnTvN0,柔情💐似水🥀4457,小心心,54,,,,,,,,,,
2025-09-16T21:28:31.967041,room_stats,,,,,,,,,,,,,,,10万+,10万+,10万+在线观众,378574
2025-09-16T21:28:31.967286,gift,,,,,MS4wLjABAAAAehRjvKddfv-Mjh_-T3OT-KIVsRHAktEIbeMw-RJsKr7uoOEOkFaaysMEN-wLFAIt,港姐朱朱¹⁰¹⁷,小心心,504,,,,,,,,,,
2025-09-16T21:28:31.968156,gift,,,,,MS4wLjABAAAANA52PzZVbOF5966RunNATp4KgFTNrQRv15qxh7TlvvA,꧁💞張家大姐💞꧂,玫瑰,1,,,,,,,,,,
2025-09-16T21:28:31.968186,gift,,,,,MS4wLjABAAAACmW3t-nPbRkSFwPOBPumY--YX8g7Y4rQZycYDxZburg,🌈小LUO爱吃🍎🍎,人气票,5,,,,,,,,,,
2025-09-16T21:28:31.968229,gift,,,,,MS4wLjABAAAAJkOHHGmasW48BWoJ4-bl2af-jqhNCMWL9xU9mq7Zaz9KTHOjzTX_zCsYbFjTA8H2,左瞳159937212,人气票,1,,,,,,,,,,
2025-09-16T21:28:31.968267,message,MS4wLjABAAAAPd3bTB7zQvAbSv35u7WJ2vBfh1YMVZnYJpV2ixkHC1c,ℒᎭℯ⃝慧姐᭄💞⁵²º࿐,车车要团灭,,,,,,,,,,,,,,,
2025-09-16T21:28:31.968311,gift,,,,,MS4wLjABAAAAFQoYPurEkxbL4Jk6JBVU1XbOmdOh3ZSUOBfQZEiQXxE,？,棒棒糖,1,,,,,,,,,,
2025-09-16T21:28:31.968343,message,MS4wLjABAAAAq_ikpyKaeo8nOtTr1BfBMw9Mv7-6eNo8WUgr1MtWl7U,神秘花裤衩,掉了,,,,,,,,,,,,,,,
2025-09-16T21:28:31.968371,follow,MS4wLjABAAAAEAAsVr8S8PYHqJaFjAEvDLzXTitZMX8TmFZPMzSFdz9PpWqO9L_AYkDS4Gn5q94W,用户2296567036624,,,,,,,,,,,,33163435,,,,
2025-09-16T21:28:32.590487,enter,MS4wLjABAAAAxLp5CnYJYB1cZ6PfKZ4_EP-9LREiS-qzfIA8uM0efLg,雲夢668,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:32.590588,enter,MS4wLjABAAAA7nFYLpRq_bROS-vrq48f8wuG_6Xg-wICkJAA6aOaoUE,简单一些,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:32.590733,gift,,,,,MS4wLjABAAAA4h0BjOTSV2FUxL5TxbCN21Av0of15X9ACMkS1P6DUPo,酒馆,为你闪耀,1,,,,,,,,,,
